id,scene_id,category_code,subcategory,bbox_x,bbox_y,bbox_w,bbox_h,confidence,mask_key,thumb_key,depth_key,description,attrs,created_at,review_status,review_notes
e07a77b1-5d58-43b5-9692-f66989715045,a7d53c21-67c3-4c0f-a385-0a942bee1224,seating,,336,336,975,1071,0.649,,,,,"{""area"": 1044225, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 14:08:56.402055+00,,
cba27c3a-c685-46e9-b4a6-5f741dda8983,15ccba99-1b4f-4a5d-aff2-d9fec987265a,seating,,1255,703,194,165,0.244,,,,,"{""area"": 32010, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 13:27:09.188469+00,,
76c9acc1-61ce-4faa-9e42-0889aae364a8,15ccba99-1b4f-4a5d-aff2-d9fec987265a,seating,,854,519,106,96,0.228,,,,,"{""area"": 10176, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 13:27:09.188469+00,,
de11e761-fe50-427c-b0fe-4625ab1b78e7,15ccba99-1b4f-4a5d-aff2-d9fec987265a,seating,,78,454,441,412,0.813,,,,,"{""area"": 181692, ""raw_label"": ""sofa"", ""detected_label"": ""sofa"", ""canonical_label"": ""sofa""}",2025-09-17 13:27:09.188469+00,,
067d4a86-93b3-4a7b-bdaf-87e5bc280bbc,15ccba99-1b4f-4a5d-aff2-d9fec987265a,seating,,788,589,267,280,0.862,,,,,"{""area"": 74760, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 13:27:09.188469+00,,
0c7e8bf5-a236-4ce8-b022-beff7b8f7ff1,a1e97655-4a5a-44d6-b789-f372f3f3bbda,entertainment,,846,494,346,207,0.384,,,,,"{""area"": 71622, ""raw_label"": ""television"", ""detected_label"": ""television"", ""canonical_label"": ""television""}",2025-09-17 08:50:11.964214+00,,
8193878a-efb8-485a-86ac-b18717c18a35,a1e97655-4a5a-44d6-b789-f372f3f3bbda,seating,,79,804,603,246,0.642,,,,,"{""area"": 148338, ""raw_label"": ""sofa"", ""detected_label"": ""sofa"", ""canonical_label"": ""sofa""}",2025-09-17 08:50:11.964214+00,,
7eaef45d-1bb4-46f9-8af6-35a54bf479c5,a1e97655-4a5a-44d6-b789-f372f3f3bbda,seating,,1185,799,254,177,0.31,,,,,"{""area"": 44958, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 08:50:11.964214+00,,
a436ed1c-ce59-414a-ae88-0f8320ea887d,199ac3f4-566b-40d9-be13-0c5b94918533,seating,,0,575,497,416,0.665,,,,,"{""area"": 206752, ""raw_label"": ""sofa"", ""detected_label"": ""sofa"", ""canonical_label"": ""sofa""}",2025-09-17 08:38:49.993533+00,,
4073b608-c152-4073-92e2-2db2b0b9dc72,f81e3cc8-b686-40bd-bcaf-154debf2e476,entertainment,,1825,454,97,307,0.299,,,,,"{""area"": 29779, ""raw_label"": ""television"", ""detected_label"": ""television"", ""canonical_label"": ""television""}",2025-09-17 08:34:51.803632+00,,
a3624661-8397-4f54-8710-9b39194acf05,f81e3cc8-b686-40bd-bcaf-154debf2e476,entertainment,,1223,518,66,103,0.271,,,,,"{""area"": 6798, ""raw_label"": ""television"", ""detected_label"": ""television"", ""canonical_label"": ""television""}",2025-09-17 08:34:51.803632+00,,
c76ab444-ed7f-4f0d-bb99-0075ad1e62cb,f81e3cc8-b686-40bd-bcaf-154debf2e476,seating,,935,880,239,185,0.681,,,,,"{""area"": 44215, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 08:34:51.803632+00,,
14ef5bfd-fc4c-4ab6-8fd2-790d3fc43dcb,f81e3cc8-b686-40bd-bcaf-154debf2e476,seating,,408,709,661,202,0.669,,,,,"{""area"": 133522, ""raw_label"": ""sofa"", ""detected_label"": ""sofa"", ""canonical_label"": ""sofa""}",2025-09-17 08:34:51.803632+00,,
40bdc084-897b-4592-9147-aa530f7f4396,f81e3cc8-b686-40bd-bcaf-154debf2e476,seating,,1204,646,107,148,0.367,,,,,"{""area"": 15836, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 08:34:51.803632+00,,
a527c781-659c-41bb-a15d-da5c23922dc6,f81e3cc8-b686-40bd-bcaf-154debf2e476,seating,,1375,647,121,160,0.597,,,,,"{""area"": 19360, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-17 08:34:51.803632+00,,
616c862e-2f6f-43e0-9316-a227fc2c5f7c,c997d5be-cb6e-4997-87f0-3a2ab3d06cfc,seating,,951,751,134,209,0.817,,,,,"{""area"": 28006, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 21:48:24.331409+00,,
7db7ef09-992e-4a39-aa2c-7d5180da9a43,c997d5be-cb6e-4997-87f0-3a2ab3d06cfc,seating,,804,748,133,220,0.845,,,,,"{""area"": 29260, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 21:48:24.331409+00,,
f6cff602-1a35-4c17-8f5b-41278ba44465,c997d5be-cb6e-4997-87f0-3a2ab3d06cfc,seating,,654,747,136,214,0.866,,,,,"{""area"": 29104, ""raw_label"": ""chair"", ""detected_label"": ""chair"", ""canonical_label"": ""chair""}",2025-09-16 21:48:24.331409+00,,
